feature,group,observed_rows,missing_rows,observed_fraction,include_in_model
elevation_m,exposure,3233,0,1.0,True
hypoxia_burden,exposure,3233,0,1.0,True
oxygen_fraction_of_sea_level,exposure,3233,0,1.0,True
oxygen_proxy_mmhg,exposure,3233,0,1.0,True
median_income_2021,baseline,3218,15,0.9953603464274667,True
median_income_log1p,derived,3218,15,0.9953603464274667,True
acs_age_65_plus_pct,acs,3211,22,0.9931951747602845,True
acs_asian_pct,acs,3211,22,0.9931951747602845,True
acs_black_pct,acs,3211,22,0.9931951747602845,True
acs_hispanic_pct,acs,3211,22,0.9931951747602845,True
acs_mean_travel_time_min,acs,3211,22,0.9931951747602845,True
acs_median_age_years,acs,3211,22,0.9931951747602845,True
acs_no_health_insurance_pct,acs,3211,22,0.9931951747602845,True
acs_nonhisp_white_pct,acs,3211,22,0.9931951747602845,True
acs_owner_occupied_pct,acs,3211,22,0.9931951747602845,True
acs_per_capita_income_2024,acs,3211,22,0.9931951747602845,True
acs_per_capita_income_log1p,derived,3211,22,0.9931951747602845,True
acs_poverty_pct,acs,3211,22,0.9931951747602845,True
acs_rent_burden_35plus_pct,acs,3211,22,0.9931951747602845,True
acs_under_18_pct,acs,3211,22,0.9931951747602845,True
acs_unemployment_rate,acs,3211,22,0.9931951747602845,True
local_diabetes_pct,baseline,3142,91,0.9718527683266316,True
local_obesity_pct,baseline,3142,91,0.9718527683266316,True
acs_bachelors_plus_pct,acs,3133,100,0.9690689761831116,True
acs_broadband_pct,acs,3133,100,0.9690689761831116,True
acs_less_than_9th_pct,acs,3133,100,0.9690689761831116,True
acs_less_than_high_school_pct,derived,3133,100,0.9690689761831116,True
acs_no_diploma_pct,acs,3133,100,0.9690689761831116,True
rucc_code_2023,rucc,2915,318,0.9016393442622951,True
rucc_nonmetro_flag,derived,2915,318,0.9016393442622951,True
svi_ep_age17,svi,2826,407,0.8741107330652644,True
svi_ep_age65,svi,2826,407,0.8741107330652644,True
svi_ep_disabl,svi,2826,407,0.8741107330652644,True
svi_ep_limeng,svi,2826,407,0.8741107330652644,True
svi_ep_minrty,svi,2826,407,0.8741107330652644,True
svi_ep_nohsdp,svi,2826,407,0.8741107330652644,True
svi_ep_noinsur,svi,2826,407,0.8741107330652644,True
svi_ep_noveh,svi,2826,407,0.8741107330652644,True
svi_ep_pov150,svi,2826,407,0.8741107330652644,True
svi_ep_sngpnt,svi,2826,407,0.8741107330652644,True
svi_ep_unemp,svi,2826,407,0.8741107330652644,True
svi_rpl_theme1,svi,2826,407,0.8741107330652644,True
svi_rpl_theme2,svi,2826,407,0.8741107330652644,True
svi_rpl_theme3,svi,2826,407,0.8741107330652644,True
svi_rpl_theme4,svi,2826,407,0.8741107330652644,True
svi_rpl_themes,svi,2826,407,0.8741107330652644,True
places_copd_pct,places,2638,595,0.8159604082895144,True
places_current_smoking_pct,places,2638,595,0.8159604082895144,True
places_diabetes_pct,places,2638,595,0.8159604082895144,True
places_high_blood_pressure_pct,places,2638,595,0.8159604082895144,True
places_lpa_pct,places,2638,595,0.8159604082895144,True
places_no_health_insurance_pct,places,2638,595,0.8159604082895144,True
places_obesity_pct,places,2638,595,0.8159604082895144,True
places_poor_mental_health_pct,places,2638,595,0.8159604082895144,True
places_poor_physical_health_pct,places,2638,595,0.8159604082895144,True
places_stroke_pct,places,2638,595,0.8159604082895144,True
diabetes_places_minus_local,derived_qc,2638,595,0.8159604082895144,False
obesity_places_minus_local,derived_qc,2638,595,0.8159604082895144,False
